0,1,2,3,4,5,6,7,8,10,12,15,16,17,18,19,20,21,22,24,25,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,55,59,60,65,66,69,70,72,74,79,80,82,83,84,85,86,87,88,90,91,92,93,96,97,98,99,100,110,111,130,150,205,210,215,222,229,240,242,243,245,246,247,249,250,255,256,257,260,263,264,265,270,297,299,300,306,310,321,330,336,337,339,340,341,344,345,346,347,362,365,366,369,370,380,381,382,383,384,385,386,388,418,440,449,450,490,499,500,501,502,503,504,505,506,507,508,509,510,511,513,515,516,518,519,520,521,522,525,526,530,532,533,534,535,536,538,540,541,542,544,545,546,547,548,550,552,555,556,561,562,580,581,583,585,586,588,590,591,592,593,594,595,596,598,599,600,605,610,611,630,640,648,650,651,653,655,656,657,658,666,690,699,700,701,710,711,712,720,730,733,740,751,752,753,760,765,767,770,772,773,775,776,777,780,785,787,799,800,810,811,830,846,850,852,853,856,859,860,863,866,880,886,887,889,890,891,899,900,901,902,904,906,907,908,909,910,914,915,920,922,923,925,926,929,930,932,935,936,938,939,943,945,946,947,948,950,952,953,955,959,963,975,978,980,983,984,987,988,991,992,994,995,996,997,998,338
01194cam a2200385   4500,267,,,,2.01609E+13,,,791203s1977\\\\oncae\\\\\\\\\\\\\0\eng\c,,,,,,,,,,,,,,,,,,,,\\$a7510320;\\$a7898,,,,\9$y200404101232$zVLOAD,\\$dUtOrBLW,,,\\$an-cn-on,,,,,,\\$aoh$beng,,,,,,,,,,,,,,,04$a729.24,,,,,,,00$a729.24/W561$bHA,,,,,,,,,,,,,,,,,,,,,00$aWheelchairs at Chedoke.,,,,,,,,,,"\1$aHamilton, Ont. :$bDepartment of Architecture, Mohawk College,$c[1977]",,,,,"\\$a206 leaves in various foliations :$billustrations, plans",,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,"\\$aCover title.;\\$aOn cover: 3rd year, 1976-7.;\\$aReports by Mohawk College students.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20$aChedoke Hospitals (Hamilton, Ont.);20$aMohawk College of Applied Arts and Technology.",,,,,\0$aBarrier-free design$zOntario$zHamilton.,"\0$aHamilton (Ont.)$xImprints, 1977.",,,,,,,,,,,2\$aMohawk College of Applied Arts and Technology.$bDepartment of Architecture.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a7898,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a7898,,,,,,,,\\$avolume$bnc$2rdacarrier
00992cam a2200361   4500,268,,,,2.01609E+13,,,790309s1966\\\\nyu\\\\\\b\\\\\\\\0beng\d,\\$a   66016118,,,,,,,,,,,,,,,,,,,\\$a7510425;\\$a7985,,,,\9$y200606010834$zVLOAD,\\$aLC$dUtOrBLW,,,,,,,,,\\$aoh$beng,\0$aPR6005.A37$bZ6,,,,,,,,,,,,,,0\$a813.52,,,,,,,10$a819.3 CALLA CON,,,,,,,,"1\$aConron, Brandon.",,,,,,,,,,,,,10$aMorley Callaghan /$cby Brandon Conron.,,,,,,,,,,"\1$aNew York :$bTwayne Publishers,$c1966. --",,,,,\\$a188 pages ;$c21 cm.,,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,"1\$aTwayne's world authors series, 1. Canada",,,,,,\\$aBibliography: p. 181-184.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10$aCallaghan, Morley,$d1903-1990.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\0$aTwayne's world authors series.$pCanada ;$vTWAS 1.,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a7985,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a7985,,,,,,,,\\$avolume$bnc$2rdacarrier
00975cam a2200361   4500,269,,,,2.01609E+13,,,781002s1978\\\\onca\\\g\\\\\\\\\\0\eng\d,,,,\\$a780012151,,,,\\$a0070827052,,,,,,,,,,,,\\$a7510449;\\$a8006,,,,\9$y200404101254$zVLOAD,\\$aCaOTY$beng$cCaOONL$dCaOONL$dUtOrBLW,,,,,,,,,\\$aooc$beng,04$aGV1785.K28$bS77,,,15$aGV1785,,,,,,,,,,,0\$a792.8/092/4,,,,,,,10$a792.80924 KAIN STR,,,,,,,,"1\$aStreet, David,$d1947-",,,,,,,,,,,,,10$aKaren Kain : lady of dance /$cDavid Street ; text by David Mason.,,,,,,,,,,"\1$aToronto :$bMcGraw-Hill Ryerson,$c1978.",,,,,\\$a127 pages :$billustrations,,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10$aKain, Karen$vPortraits.",,,,,,,,,,,,,,,,,"1\$aMason, David,$d1939-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a8006,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a8006,,,,,,,,\\$avolume$bnc$2rdacarrier
00893cam a2200361   4500,270,,,,2.01609E+13,,,770419t19761976nyu\\\\\\\\\\\\\\\p\eng\c,,,,,,,,\\$a0533022932,,,,,,,,,,,,\\$a7510456;\\$a8012,,,,\9$y200404101256$zVLOAD,\\$dUtOrBLW,,,,,,,,,\\$aoh$beng,,,,,,,,,,,,,,,0\$a819.1,,,,,,,10$a819.1 DOWN,,,,,,,,"1\$aDown, G. W.",,,,,,,,,,,,,10$aFor your any mood :$bpoems /$cG. W. Down.,,,,,,,,,,"\1$aNew York :$bVantage Press,$c[1976];\4$c©1976",,,,,\\$a25 pages,,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$aHPL copy autographed by author.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$aAutographed.,,,,,,,,,"\0$aHamilton (Ont.)$xAuthors$xDown, G. W.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a8012,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a8012,,,,,,,,\\$avolume$bnc$2rdacarrier
01248cam a2200397   4500,271,,,,2.01609E+13,,,780417s1977\\\\bccacfj\\b\\\\\\\\0beng\d,,,,\\$a770021832,,,,\\$a0888260709 (pa. :)$c{dollar}6.95,,,,,,,,,,,,\\$a7510469;\\$a8019,,,,\9$y200404101300$zVLOAD,\\$aCaBVaU$beng$cCaOONL$dCaOONL$dUtOrBLW,,,,,\\$aw-w-,,,,\\$aoty$beng,,,,02$aFC109.1*,,,,,,,,,,,0\$a971/.004/97,,,,,,,\\$a971.00497 CAR,,,,,,,,"1\$aCarpenter, Jock.",,,,,,,,,,,,,"10$aFifty dollar bride :$bMarie Rose Smith, a chronicle of Métis life in the 19th century /$cby Jock Carpenter.",,,,,,,,,,"\1$aSidney, B.C. :$bGray's Pub.,$c1977.",,,,,"\\$a160 pages, 8 unnumbered leaves of plates :$billustrations, portraits, genealogical table ;$c22 cm",,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$aIncludes bibliographical references.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a8.95,"10$aSmith, Marie Rose,$d1861-1960.",,,,,,,\0$aMétis$zCanada$vBiography.;\0$aIndians of North America$xMixed descent$zCanada$vBiography.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a8019,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a8019,,,,,,,,\\$avolume$bnc$2rdacarrier
00899cam a2200337   4500,272,,,,2.01609E+13,,,770707s1954\\\\ohua\\\\\\\\\\\\\\0\eng\d,\\$a   54005342,,,,,,,,,,,,,,,,,,,\\$a7510476;\\$a8026,,,,\9$y200404101301$zVLOAD,\\$aLC$dUtOrBLW,,,,,,,,,\\$aoh$beng,\0$aU800$b.T8,,,,,,,,,,,,,,0\$a399,,,,,,,10$a623.4 TUN,,,,,,,,"1\$aTunis, Edwin,$d1897-1973.",,,,,,,,,,,,,10$aWeapons :$ba pictorial history /$cwritten and illustrated by Edwin Tunis.,,,,,,,,,,"\1$aCleveland :$bWorld Pub. Co.,$c[1954]",,,,,\\$a152 pages :$billustrations ;$c31 cm,,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\0$aMilitary weapons$xHistory.;\0$aWeapons$xHistory.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a8026,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a8026,,,,,,,,\\$avolume$bnc$2rdacarrier
01166cam a2200337   4500,273,,,,2.01609E+13,,,791203s1963\\\\oncb\\\\\\\\\\\\\\0\eng\f,,,,,,,,,,,,,,,,,,,,\\$a7510483;\\$a8033,,,,\9$y200404101303$zVLOAD,\\$aNUC$dUtOrBLW,,,\\$an-cn-on,,,,,,\\$aoh$beng,,,,,,,,,,,,,,,04$a309.250971352,,,,,,,00$a309/.25097135/H181R$bHA,,,,,,,,,2\$aHamilton-Wentworth Planning Area Board.$bRegional Planning Division.,,,,,,,,,,,,"10$aRegional studies programme :$bscope and procedures /$cprepared by Regional Planning Division, Hamilton-Wentworth Planning Area Board.",,,,,,,,,,"\1$aHamilton, Ont. :$bThe Board,$c1963.",,,,,"\\$aiv, 9, 2 leaves, 1 unnumbered leaf of plates :$b1 folded map",,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\0$aRegional planning$zOntario$zHamilton-Wentworth.,"\0$aHamilton (Ont.)$xAuthors$xHamilton-Wentworth Planning Area Board. Regional Planning Division.;\0$aHamilton (Ont.)$xImprints, 1963.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a8033,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a8033,,,,,,,,\\$avolume$bnc$2rdacarrier
00910cam a2200373   4500,274,,,,2.01609E+13,,,781220s1972\\\\onc\\\\e\\\\\\\\\\1\eng\d,\\$a   73153830,,,\\$aC***,,,,\\$a0771064357:$c{dollar}4.95;\\$c4.95,,,,,,,,,,,,\\$a7510495;\\$a8043,,,,\9$y200901090850$zVLOAD,\\$aLC$dUtOrBLW,,,,,,,,,\\$aoty$beng,\0$aPZ4.M819$bCat$aPR6063.O6,,,,,,,,,,,,,,0\$a813/.5/4,,,,,,,10$aMOO,,,,,,,,"1\$aMoore, Brian,$d1921-1999.",,,,,,,,,,,,,10$aCatholics :$ba novel /$cBrian Moore.,,,,,,,,,,"\1$aToronto :$bMcClelland and Stewart,$c1972. --",,,,,\\$a107 pages ;$c22 cm,,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a8043,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a8043,,,,,,,,\\$avolume$bnc$2rdacarrier
01260cam a2200385   4500,275,,,,2.01609E+13,,,770527t19761975ohuab\\\\d\\\\\\\\0\eng\d,\\$z76-364935,,,,,,,\\$z0529048523 :$c{dollar}59.95,,,,,,,,,,,,\\$a7510527;\\$a8069,,,,\9$y200404101311$zVLOAD,\\$aLC$dUtOrBLW,,,,,,,,,\\$aoh$beng,04$aPE1625,,,,,,,,,,,,,,0\$a423,,,,,,,30$a423 WEB,,,,,,,,,,,,,,,,,,,,,"00$aWebster's new twentieth century dictionary of the English language, unabridged :$bbased upon the broad foundations laid down by Noah Webster.",,,,"\\$aSecond edition, extensively revised /$bby the publisher's editorial staff under the general supervision of Jean L. McKechnie.",,,,,,"\1$a[Cleveland] :$bCollins+World,$c1976, 1975.",,,,,"\\$axiv, 2,129, 160 pages :$billustrations (some color), color maps",,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$aDeluxe color ed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a29.98,,,,,,,,\0$aEnglish language$vDictionaries.,,,,,,,,,,"1\$aWebster, Noah,$d1758-1843.;1\$aMcKechnie, Jean L.$q(Jean Lyttleton),$d1925-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a8069,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a8069,,,,,,,,\\$avolume$bnc$2rdacarrier
01152cam a2200373   4500,276,,,,2.01609E+13,,,791203s1977\\\\oncac\\\\\\\\\\\\\0\eng\c,,,,,,,,,,,,,,,,,,,,\\$a7510532;\\$a8072,,,,\9$y200404101311$zVLOAD,\\$dUtOrBLW,,,\\$an-cn-on,,,,,,\\$aoh$beng,,,,,,,,,,,,,,,04$a384.540971352,,,,,,,00$a384/.5409713/C1$bHA,,,,,,,,,,,,,,,,,,,,,00$aCHML golden anniversary : 50 great years ... and we've only just begun.,,,,,,,,,,"\1$a[Hamilton, Ont.] :$bThe Spectator,$c1977.",,,,,"\\$a31 pages :$billustrations, portraits",,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,"\\$aCover title.;\\$aRunning title: CHML 50th anniversary.;\\$a""Advertising supplement to The Spectator (Hamilton), Monday, February 28th, 1977.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20$aCHML (Radio station : Hamilton, Ont.)",,,,,\0$aRadio broadcasting$zOntario$zHamilton.,"\0$aHamilton (Ont.)$xImprints, 1977.",,,,,,,,,,,,,,,"0\$aSpectator (Hamilton, Ont.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a8072,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a8072,,,,,,,,\\$avolume$bnc$2rdacarrier
01110cam a2200409   4500,277,,,,2.01609E+13,,,701030s1969\\\\qucabc\\\b\\\\\\1\0\eng\d,\\$a   70513182,,,\\$aC***,,,,\\$a0888501617 (v.1),,,,,,,,,,,,\\$a7510658;\\$a8173,,,,\9$y200404101326$zVLOAD,\\$aLC$dUtOrBLW,,,\\$an-cn---,,\\$ax3x4,,,,\\$aostcb$beng,\0$aD768.15$b.C32,,,,,,,,,,,,,,0\$a940.54/0971,,,,,,,\\$a940.540971 CAN,,,,,,,,,,,,,,,,,,,,,"04$aThe Canadians at war, 1939/45.",,,,,,,,,,"\1$a[Montreal] :$bReader's Digest Association (Canada),$c1969. --",,,,,"\\$a2 volumes :$billustrations, folded color maps, portraits ;$c28 cm",,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$aAt head of title: Reader's Digest.,,,,"\\$aBibliography: v. 2, p. 665-667.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"\0$aWorld War, 1939-1945$zCanada.",,,,,,,,,,,,,,,,0\$aReader's digest.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a8173,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a8173,,,,,,,,\\$avolume$bnc$2rdacarrier
02154cam a2200541   4500,278,,,,2.01609E+13,,,760319s1974\\\\onc\\\\\\\\\\\\\\\0\eng\d,\\$a   77358323,,,\\$a750089741,,,,\\$c{dollar}3.50 (pa. :),,,,,,,,,,,,\\$a7510676;\\$a8186,,"\\$bA.R. Hazelgrove, 211 Victoria St., Kingston, Ont. K7L 3Y9",,\9$y200404101329$zVLOAD,\\$aCaOONL$beng$dUtOrBLW;\\$aNLC,,,\\$an-cn-on,,,,,,\\$aoh$beng,00$aG1148.H5$bH3 1974,,,02$aG1148*,,,,,,,,,,,0\$a911/.713/58,,,,,,,00$a911.71358 HAZ,,,,,,,,"1\$aHazelgrove, A. R.$q(Allan Ronald),$d1912-",,,,,,,,,,,,,"10$aName and place index to Illustrated historical atlas of the Counties of Hastings and Prince Edward, Ontario, H. Belden & Co., Toronto, 1878 and Mika Silk Screening Belleville, 1972.$pCompiled by A. R. Hazelgrove.","3\$aIllustrated historical atlas of Hastings and Prince Edward Counties, Ont.",,,,,,,,,"\1$aKingston, [Ont.] :$b[publisher not identified],$c1974.",,,,,"\\$aviii, 72 pages ;$c22 cm",,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$aCover title: Index to the 1878 Prince Edward & Hastings Counties atlas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20$aH. Belden & Co.$tIllustrated historical atlas of Hastings and Prince Edward Counties, Ontario.;09$aBelden (H.) & Co.$tIllustrated historical atlas of Hastings and Prince Edward Counties, Ontario.",,,,,\0$aNames$zOntario$zHastings (County)$vIndexes.;\0$aNames$zOntario$zPrince Edward$vIndexes.,,,,,,,,,,,,"2\$aH. Belden & Co.$tIllustrated historical atlas of Hastings and Prince Edward Counties, Ont.",,,,,,0\$aIndex to the 1878 Prince Edward & Hastings Counties atlas.,,,,,,,,"0\$aBelden (H.) & Co.$tIllustrated historical atlas of Hastings and Prince Edward Counties, Ont.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10$aHazelgrove, A. R.,$d1912-",,,,,,,,20$aH. Belden & Co.,\\$a8186,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a8186,,,,,,,,\\$avolume$bnc$2rdacarrier
01446cam a2200421   4500,279,,,,2.01609E+13,,,730918s1973\\\\bcc\\\\\\bc\\\\\\\0\eng\d,\\$a   72083414,,,\\$aC***,,,,\\$a0774800070$z0774800089 (pbk.),,,,,,,,,,,,\\$a7510757;\\$a8244,,,,\9$y200404101338$zVLOAD,\\$aLC$dUtOrBLW,0\$aeng$afre,,,,,,,,\\$aOLU$bENG,\0$aZ1377.F8$bB72 1973,,,,,,,,,,,,,,0\$a016.84/08/09714,,,,,,,00$a016.848/B777$bCA,,,,,,,,,2\$aUniversity of British Columbia.$bLibrary.,,,,,,,,,,,,"12$aA checklist of printed materials relating to French-Canadian literature, 1763-1968 :$bListe de référence d'imprimés relatifs à la littérature canadienne-française /$c[by] Gérard Tougas. -.",,,,\\$aSecond edition -.,,,,,,"\1$aVancouver :$bUniversity of British Columbia Press,$c[1973].-",,,,,"\\$axvi, 174 pages ;$c24 cm -",,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$aPreliminary material in English and French. -,,,,\\$aBibliography: p. 174. -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\0$aFrench-Canadian literature$vBibliography$vCatalogs.,,,,,,,,,,"1\$aTougas, Gérard.",,,,,,,,0\$aListe de référence d'imprimés relatifs à la littérature canadienne-française.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a8244,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a8244,,,,,,,,\\$avolume$bnc$2rdacarrier
01551cam a2200385   4500,280,,,,2.01609E+13,,,790417s1978\\\\oncac\\\\b\\\\1\\\0\eng\c,,,,,,,,,,,,,,,,,,,,\\$a7510789;\\$a8269,,,,\9$y200404101343$zVLOAD,\\$dUtOrBLW,,,\\$an-cn-on,,,,,,\\$aoh$beng,04$aF5499.H2$bS95 1977,,,,,,,,,,,,,,0\$a301.45151071,,,,,,,00$a301.45151071 SYM,,,,,,,,,,"2\$aSymposium on the Economic, Social and Cultural Conditions of the Italian Canadian in the Hamilton-Wentworth Region$d(1977 :$cMcMaster University)",,,,,,,,,,,"10$aProceedings of Symposium '77 on the Economic, Social and Cultural Conditions of the Italian Canadian in the Hamilton-Wentworth Region /$cpresented by The Italian Canadian Federation of Hamilton Inc. ; edited by Mary Campanella.",,,,,,,,,,"\1$a[Hamilton, Ont.] :$b[Italian Canadian Federation of Hamilton],$c[1978]",,,,,"\\$a70 pages :$billustrations, portraits",,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$aBibliography: p. 26.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\0$aItalians$zOntario$zHamilton-Wentworth$xSocial conditions$vCongresses.,"\0$aHamilton (Ont.)$xImprints, 1978.",,,,,,,,,"1\$aCampanella, Mary.",,"2\$aItalian Canadian Federation of Hamilton, Inc.",,,,,,"0\$aSymposium '77 on the Economic, Social and Cultural Conditions of the Italian Canadian in the Hamilton-Wentworth Region.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a8269,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a8269,,,,,,,,\\$avolume$bnc$2rdacarrier
00860cam a2200301   4500,281,,,,2.01609E+13,,,760414s1975\\\\onc\\\\\\\\\\\\\\\0deng\c,,,,,,,,,,,,,,,,,,,,\\$a7510791;\\$a8271,,,,\9$y200404101343$zVLOAD,\\$dUtOrBLW,,,,,,,,,\\$aoh$beng,,,,,,,,,,,,,,,0\$a971.3521,,,,,,,00$a971/.3521 /C16$bHA,,,,,,,,,2\$aCanadian Federation of University Women.$bHamilton Branch.,,,,,,,,,,,,"10$a50th anniversary, 1925-1975.$nCanadian Federation of University Women.",,,,,,,,,,"\1$aHamilton, Ont. :$bHamilton Branch,$c1975.",,,,,\\$a20 pages,,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20$aCanadian Federation of University Women.$bHamilton Branch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a8271,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a8271,,,,,,,,\\$avolume$bnc$2rdacarrier
01346cam a2200385   4500,282,,,,2.01609E+13,,,791203s1972\\\\oncae\\\\\\\\\\\1\0\eng\c,,,,,,,,,,,,,,,,,,,,\\$a7510880;\\$a8334,,,,\9$y200404101351$zVLOAD,\\$dUtOrBLW,,,\\$an-cn-on,,\\$ax6x7,,,,\\$aoh$beng,,,,,,,,,,,,,,,04$a301.5/4/0971352,,,,,,,00$a301/.54097135/H182$bHA,,,,,,,,,2\$aHamilton-Wentworth Planning Area Board.,,,,,,,,,,,,"10$aMultiple residential development in the County of Wentworth and the City of Hamilton, 1960-1970 :$ba data book /$cprepared by the Hamilton-Wentworth Planning Area Board.",,,,,,,,,,"\1$a[Hamilton, Ont.] :$bThe Board,$c1972.",,,,,"\\$aviii, 793 pages :$billustrations, plans",,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,"\\$aAn updated version of the author's Study of apartment projects, City of Hamilton, published in 1965.",,,,\\$aIncludes indexes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\0$aApartment houses$zOntario$zHamilton.;\0$aApartment houses$zOntario$zHamilton-Wentworth.,"\0$aHamilton (Ont.)$xAuthors$xHamilton-Wentworth Planning Area Board.;\0$aHamilton (Ont.)$xImprints, 1972.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a8334,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a8334,,,,,,,,\\$avolume$bnc$2rdacarrier
01325cam a2200397 a 4500,283,,,,2.01609E+13,,,780605s1976\\\\onca\\\e\b\\\\\\\\0\eng\c,,,,,,,,,,,,,,,,,,,,\\$a7510902;\\$a8350,,,,\9$y200404101353$zVLOAD,\\$dUtOrBLW,,,\\$an-cn-on,,,,,,\\$aoh$beng,,,,,,,,,,,,,,,0\$a346.71304342$220,,,,,,,\\$a346.71304342 HAM,,,,,,,,,,,,,,,,,,,,,00$aHamilton tenant :$ba guide to tenants' rights and The landlord and tenant act /$c[prepared and written by Ian Finlayson and others].,,,,,,,,,,"\1$a[Hamilton, Ont.] :$b[Housing Education Service],$c[1976]",,,,,\\$a22 pages :$billustrations,,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$aCover title.,,,,\\$aBibliography: p. 22.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\0$aLandlord and tenant$zOntario.;\0$aLandlord and tenant$zOntario$zHamilton.,"\0$aHamilton (Ont.)$xAuthors$xOntario Public Research Group. Housing Education Service.;\0$aHamilton (Ont.)$xAuthors$xFinlayson, Ian.;\0$aHamilton (Ont.)$xImprints, 1976.",,,,,,,,,"1\$aFinlayson, Ian.",,2\$aOntario Public Interest Research Group.$bHousing Education Service.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a8350,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a8350,,,,,,,,\\$avolume$bnc$2rdacarrier
